label,text,text1,text2
2,bhp billiton approves chile copper project western australia iron lt gt lt gt sydney bhp billiton approved copper project northern chile costing dollars expansion iron ore operations western australia,bhp billiton approves chile copper project western mediterranean iron lt gt with mt sydney bhp billiton approved copper project northern cape costing dollars expansion iron ore operations western australia,bhp government approves expansion copper project western australia iron lt gt lt oil sydney bhp billiton approves copper project northern chile costing dollars expansion iron ore operations southern australia
2,ceo pleads guilty fraud york reuters computer associates international lt href http investor reuters fullquote aspx ticker target stocks quickinfo fullquote gt lt gt chief executive sanjay kumar pleaded guilty thursday charges securities fraud obstruction justice year investigation accounting fraud company,ceo defendants guilty fraud york reuters cnn associates aj lt href http investor reuters fullquote aspx ticker target stocks quickinfo fullquote gt lt gt chief executive sanjay kumar charges for re charges securities fraud obstruction justice year investigation accounting fraud company,ceo pleads guilty fraud york reuters computer associates international sourcing href http investor reuters < aspx ticker target quote quickinfo fullquote gt executive gt chief executive sanjay tant pleaded guilty thursday fraud securities fraud obstruction justice year investigation accounting fraud company
2,microsoft offer windows flavor retail market windows client software microsoft corp developing customized variants windows embedded operating system specific markets,microsoft offer windows flavor retail versions windows client software microsoft corp offers customized variants windows embedded operating system specific markets,microsoft core windows flavor retail market xp client v microsoft corp developing customized variants windows embedded operating system specific markets
2,study amp neck stent effective surgery johnson amp johnson neck stent effective surgery clearing blocked blood vessels brain strokes death company funded study tomorrow england journal medicine,study amp neck stent effective surgery johnson amp johnson shoulder pain effective surgery clearing blocked blood vessels brain strokes death company funded study tomorrow england journal archive,study amp neck surg effective surgery johnson amp amp neck stent effective surgery clearing blocked blood vessels brain strokes death Cancer funded study tomorrow Medical journal medicine
2,china richest york expanded list names top year required personal wealth year,china richest york expanded list and top year asian personal wealth year,china richest billionaires expanded list names Change year required personal wealth year
2,amp cut constellation brands debt rating standard amp poor tuesday cut debt rating constellation brands stz quote profile deeper junk wine beer distributor launched unsolicited offer,amp cut constellation brands debt rated standard amp poor tuesday cut debt rating constellation brands lower credit profile deeper junk wine beer distributor launched unsolicited offer,amp cut bonds and debt rating standard amp poor tuesday cut debt rating constellation brands stz quote level deeper junk wine beer distributor launched unsolicited offer
2,cisco systems st quarter earnings rise reuters reuters cisco systems biggest maker equipment directs data internet tuesday quarterly earnings rose percent rising demand networking gear,cisco systems st billion earnings reports reuters reuters cisco systems biggest maker equipment directs data internet tuesday cash earnings rose percent rising demand networking gear,cisco systems st quarter earnings rise reuters reuters cisco systems major maker equipment i data internet tuesday quarterly results rose percent rising demand networking gear
2,chrysler revs gm ford rivals automaker profit selling cars gains market share brett clanton detroit news chrysler ongoing recovery boost thursday automaker reported,chrysler revs gm ford rivals automaker profit selling cars gains market position brett clanton detroit news chrysler ongoing drive boost miles automaker reported,chrysler revs gm ford rivals from profit gains cars gains market share brett cl detroit news chrysler ongoing recovery boost - automaker reported
2,fannie mae takes approach crisis independent probe throw top executives overboard,fannie mae takes approach crisis solutions probe throw off executives overboard,fannie mae takes approach crisis help probe throw bond executives overboard
2,hidden fees bank accounts mortgages credit cards car loans buyer beware financial fees rise waiting blindside,computer fees offshore accounts mortgages credit cards car loans buyer beware financial fees rise waiting blindside,hidden fees bank accounts mortgages credit union car loans buyer beware as fees rise waiting blindside
